Each of the nurses report to the operating room when his or her name is called.	A. Of the	B. Report	C. His or her name	D. Is called	B. Report	⇒ is reported. Chủ ngữ each of the + Ns + V số ít, câu bị động.
If I had enough money, I would have travelled around the world.	A. Enough	B. Would have travelled	C. The	D. World	B. Would have travelled	⇒ would travel. câu điều kiện loại 2: If S Vqk, S would V
The US, that is one of the most powerful countries, decided to declare a war to Iraq.	A. That	B. Powerful	C. Decided	D. A war to	A. That	⇒ which. mệnh đề quan hệ không xác định, that không đi sau dấu phẩy
A motion picture provides us with both entertainment but also knowledge.	A. Provides	B. With	C. Both	D. But also	D. But also	⇒ and. Cấu trúc both…and…: cả….và…
Today the number of people enjoying winter sports are almost double that of twenty years ago.	A. Of	B. Enjoying	C. Are	D. That	C. Are	⇒ is. chủ ngữ the number of + Ns + V số ít: số lượng…
Dresses, skirts, shoes and children’s clothing are advertised at great reduced prices this week	A. Children’s clothing	B. Are advertised	C. At	D. Great	A. Children’s clothing	⇒ children clothes. cần danh từ số nhiều làm chủ ngữ
Air pollution, together with littering, are causing many problems in our large, industrial cities today.	A. With	B. Are	C. Many	D. In our large	B. Are	⇒ is. 2 chủ ngữ nối với nhau bởi together with, động từ chia theo chủ ngữ thứ nhất
Many teachers have devoted their lives to teaching therefore teaching is not a well-paid job.	A. Devoted	B. Lives	C. Teaching	D. Therefore	D. Therefore	⇒ although. dựa vào quan hệ ngữ nghĩa, ta thấy 2 vế tương phản nên không thể dùng therefore (vì vậy) mà phải dùng althoug (mặc dù)
The threat of being dismissed do not worry me any more because I have started my own business.	A. The	B. Being dismissed	C. Do not worry	D. My own business	C. Do not worry	⇒ doesn’t worry. chủ ngữ “the thread of..” là danh từ số ít nên động từ chia số ít
In the end of the party, Mary found herself washing the dishes alone again, as usual.	A. In the end of	B. Herself	C. Washing	D. As usual	A. In the end of	⇒ at the end of. Cấu trúc in the end = finally: cuối cùng thì
Mrs. Stevens, along with her cousins from New Mexico, are planning to attend the festivities.	A. With	B. Her counsins	C. Are	D. To attend	C. Are	⇒ is. hai chủ ngữ nối với nhau bởi along with động từ chia theo chủ ngữ thứ nhất
We are going to visit our grandparents when we will finish our final exams.	A. Are going to	B. Our	C. When	D. Will	D. Will	⇒ bỏ will. sau mệnh đề trạng ngữ when không chia thời tương lai
By the time the police come the robber had run away.	A. By the time	B. The	C. Come	D. Had run	C. Come	⇒ came. by the time + mốc thời gian quá khứ, quá khứ hoàn thành
He said that he has done his homework since 7 o’clock.	A. Said	B. Has done	C. Homework	D. Since	B. Has done	⇒ had done. cấu gián tiếp nên động từ cần lùi thời
She has disappeared three days ago, and they are still looking for her now.	A. Has disappeared	B. And	C. Are still	D. For her	A. Has disappeared	⇒ disappeared. Câu có trạng từ ago, là thời quá khứ đơn
Instead of calling off the meeting, maybe we can just put it over until next month.	A. Calling off	B. Can	C. Put it over	D. Next month	C. Put it over	⇒ put it off. put st off = delay st: trì hoãn
There is a severe famine in Somalia, and thousands of people are dying from hunger.	A. There is	B. Thousands of people	C. Are dying	D. From hunger	D. From hunger	⇒ of hunger. cấu trúc die of st: chết vì bệnh gì
If you need to keep fit, then why not take on a sport such as badminton or tennis?	A. To keep	B. Why not take	C. On	D. A sport such as	C. On	⇒ up. cấu trúc take up a sport: bắt đầu chơi một môn thể thao
He has made a lot of mistakes in his writing because his carelessness.	A. Made	B. Mistakes	C. In	D. Because	D. Because	⇒ because of. cấu trúc because of + N
People are not allowed enter the park after midnight because of lack of security.	A. Allowed enter	B. After	C. Because of	D. Of	A. Allowed enter	⇒ allowed to enter. cấu trúc be allowed/ permitted to V: được cho phép làm gì
Neither his parents nor his teacher are satisfied with his result when he was at school.	A. Neither	B. Nor	C. Are	D. With	C. Are	⇒ is. hai chủ ngữ nối với nhau bởi neither..nor… thì động từ chia theo chủ ngữ sau nor
Although Nam worked very hard, but he didn’t pass the final exam.	A. Although	B. Hard	C. Didn’t	D. Pass	A. Although	⇒ bỏ although. vì câu đã có but thể hiện sự tương phản về nghĩa, nên không cần dùng although nữa
The amount of women earning Master’s Degrees has risen sharply in recent years.	A. The amount of	B. Master’s	C. Has risen	D. Recent years	A. The amount of	⇒ the number of. vì women là danh từ đếm được chỉ người nên không dùng amount mà phải dùng number
Dinosaurs became extinct millions of years ago because of the earth’s climate changed drastically.	A. Beame extinct	B. Because of	C. The earth’s	D. Drastically	B. Because of	⇒ because. vì vế sau là một mệnh đề nên ta dùng because thay vì because of
Because blood from different individuals may different in the type of antigen on the surface of the red cells and the type of antibody in the plasma, a dangerous reaction can occur between the donor and recipient in a blood transfusion.	A. Because	B. Diffirent	C. Can occur	D. And	B. Diffirent	⇒ differ. may + V nguyên thể. Different là tính từ nên ta chuyển nó về dạng danh từ
When mining for gold, you must first obtain the gold ore and then apart the gold from the ore.	A. When mining	B. Must first	C. And then	D. Apart	B. Must first	⇒ must firstly. must + V nguyên thể, trước động từ obtain là trạng từ
Working provide people with personal satisfaction as well as money.	A. Provide	B. With	C. Satisfaction	D. Well	A. Provide	⇒ provides. chủ ngữ là danh động từ nên động từ chia số ít
For the first time in the history of the country, the person which was recommended by the president to replace a retiring justice on the Supreme Court is a woman.	A. Which	B. Was recommended	C. To replace	D. Retiring	A. Which	⇒ who/ that. Đây là mệnh đề quan hệ thuộc về the person nên ta không dùng đại từ which mà phải dùng who/ that
The Greek historian Herodotus reported that one hundred thousand men are employed for twenty years to build the Great Pyramid at Gizeh.	A. Are	B. For	C. To build	D. At Gizeh	A. Are	⇒ were. Câu gián tiếp nên động từ phải lùi thời
I was amazed that Smith showed so few grief at his mother’s death.	A. Was	B. Amazed	C. Showed	D. Few	D. Few	⇒ little. few + danh từ đếm được
How much times did Rich and Jennifer have to do the experiment ?	A. Much	B. Did	C. Have to	D. Experiment	A. Much	⇒ many. do times là danh từ đếm được số nhiều nên đi với many
It was not when he talked to her that he knew the truth.	A. Was not	B. When	C. Talked to	D. Knew the truth	B. When	⇒ until. cấu trúc it + be + not until + that mệnh đề: không….cho đến tận khi….
It is interesting to compare the early stylized art forms of ancient civilizations to the modern abstract forms of art.	A. Interesting	B. To compare	C. Of	D. To	D. To	⇒ with. công thức compare something with something: so sánh cái gì với cái gì
When many of my friends take a shower in the morning, I usually take one before bed.	A. When	B. Many of my friends	C. One	D. Before bed	A. When	⇒ while. while kết nối 2 vế tương phản
Unless there had been a heavy storm, the climbers will not have died.	A. Unless	B. Had been	C. Heavy	D. Will	D. Will	⇒ would. câu điều kiện loại 3: If S had been PII, S would have PII
When a patient’s blood pressure is much higher than it should be, a doctor usually insists that he will not smoke.	A. Much	B. Than it	C. Should be	D. Will not	D. Will not	⇒ not/ should not. cấu trúc bàng thái cách insist that S (should) V: khăng khăng rằng ai đó nên/ phải làm gì
Please tell us the reason when he left without saying goodbye.	A. Tell	B. When	C. Left	D. Saying	B. When	⇒ why. cấu trúc tell sb the reason why: nói cho ai biết lý do tại sao
It has ever been told that teaching is one of the more noble careers.	A. Has ever been	B. Is	C. The	D. More noble	D. More noble	⇒ most noble. cấu trúc one of the + so sánh nhất
The mother asked her son if he would have the floor clean the day before.	A. Asked	B. If	C. Would have	D. Clean	D. Clean	⇒ cleaned. cấu trúc have something done: để cho cái gì được làm gì
Teddy Roosevelt demonstrated his competitive spirit and tireless energy in 1905 whenever he led the Rough Riders up San Juan Hill.	A. Demonstrated	B. Competitive	C. Whenever	D. He	C. Whenever	⇒ when. mệnh đề quan hệ chỉ thời gian bổ nghĩa cho “in 1905”
Before went abroad, he had finished his English course at the English-speaking Center.	A. Went	B. Abroad	C. Had finished	D. English-speaking	A. Went	⇒ going. before + Ving: trước khi làm gì
The deadbolt is the best lock for entry doors because it is not only inexpensive but installation is easy.	A. The best	B. Because	C. Not only	D. Installation is easy	D. Installation is easy	⇒ easy to install. hai từ nối với nhau bởi not only… but also… cần phải song song về từ loại. Sau not only đã có tính từ in expensive nên sau but also cũng cần chuyển thành tính từ.
Conservation is the safeguarding and preservation of nature resources.	A. Is	B. Safeguarding	C. Preservation	D. Nature	D. Nature	⇒ natural. ta cần 1 tình từ đứng trước danh từ
Spel correctly is easy with the aid of a number of word processing programs for personal computers.	A. Spell	B. Correctly	C. Word processing	D. Computers	A. Spell	⇒ spelling. cần 1 danh động từ làm chủ ngữ
Do most boys and girls give a great deal of thought to their future employ ?	A. Most	B. Give	C. Thought	D. Employ	D. Employ	⇒ employment. sau tính từ là danh từ
What happened in New York were a reaction from city workers, including firemen and policemen who had been laid off from their jobs.	A. What happened	B. Were	C. Including	D. Their	B. Were	⇒ was. chủ ngữ là mệnh đề danh ngữ what S V ⇒ Động từ chia số ít
The puppy stood up slowly, wagged its tail, blinking its eyes, and barked.	A. Slowly	B. Its	C. Blinking	D. And	C. Blinking	⇒ blinked. ta cần 1 động từ chia thời quá khứ để song song với các hành động trước và sau.
Ecologists are trying to preserve our environment for future generations by protecting the ozone layer, purifying the air, and have planted the trees that have been cut down.	A. To preserve	B. For	C. The ozone layer	D. Have planted	D. Have planted	⇒ planting. các động từ theo sau “by” được nối với nhau bởi “and” nên được chia Ving giống nhau (protecting, purifying)
The chief of police demanded from his assistants an orderly investigation, a well-written report, and that they work hard.	A. The chief	B. From	C. Orderly	D. That they work hard	D. That they work hard	⇒ hard work. cấu trúc song song, các từ nối với nhau bởi and có cùng từ loại, investigation, a well-written report là danh từ nên đáp án D cần được sửa thành danh từ
Robots in the home might not be enough creative to do the cooking, plan the meal and so on.	A. In the home	B. Might	C. Enough creative	D. Do the cooking	C. Enough creative	⇒ creative enough. cấu trúc be + adj + enough + that + mệnh đề: đủ như thế nào để làm gì
Today’s job seekers are confronted with such question as “Are you computer literate?” and “Can you set up a data base?”	A. Job	B. Confronted	C. Such question	D. Set up	C. Such question	⇒ Such questions. vì ở vế sau có 2 câu hỏi, nên question cần ở dạng số nhiều
This apprentice has spent two weeks to work on that new machine.	A. Has spent	B. To work	C. On	D. New machine	B. To work	⇒ Working. cấu trúc spend + thời gian + Ving: dành thời gian làm gì
Jason’s professor had him to rewrite his thesis many times before allowing him to hand it in.	A. Had	B. To rewrite	C. Many times	D. Allowing	B. To rewrite	⇒ rewrite. cấu trúc have sb do st: nhờ ai làm gì
She wishes that we didn’t send her the candy yesterday because she’s on a diet.	A. Didn’t send	B. Her the candy	C. Because	D. On	A. Didn’t send	⇒ hadn’t sent. cấu trúc câu ước với wish: wish (that) S V (lùi thời)
The master of ceremonies announced in a loud and clear voice and told that the dinner would be late due to unforseen circumstances.	A. Of ceremonies	B. And told	C. Would be	D. Due to	B. And told	⇒ and said. say that + mệnh đề, tell somebody that + mệnh đề
Slowly and with care, the museum director removed the Ming vase from the shelf and placed it on the display pedestal.	A. With care	B. From	C. Placed	D. The display pedestal	A. With care	⇒ carefully. trạng từ đứng đầu câu
Abraham Lincoln was a good president and was self-educated, hard working and always told the truth.	A. A good president	B. Self-educated	C. Hard working	D. Always told the truth	D. Always told the truth	⇒ truthworthy. cấu trúc song song, các từ nối bởi “and” đều là tính từ nên phải chuyển đáp án D thành dạng tính từ
Narcissus, a character in mythology, gazed at his own image in a pool so ardently that he fell into itself and downed.	A. A character in mythology	B. His own	C. That	D. Into itself	D. Into itself	⇒ into it. itself là đại từ phản thân mang nghĩa chính bản thân nó, ở đây nghĩa đó không phù hợp nên ta sửa thảnh it (a pool)
Collecting stamps, playing chess and to mount beautiful butterflies are derrick’s hobbies.	A. Collecting	B. Playing	C. To mount	D. Are	C. To mount	⇒ mounting. cấu trúc song song, các từ nối bởi and phải ở cùng dạng thức.
Despite America’s affluence, many people are without jobs, on welfare, and have a lot of debts.	A. Despite	B. Without jobs	C. On welfare	D. Have a lot of debts	D. Have a lot of debts	⇒ in debt. cấu trúc song song
Geochemistry includes the study of the movement of elements from one place to another as a result of processes chemical.	A. The stury of	B. Of elements	C. As a	D. Processes chemical	D. Processes chemical	⇒ chemical processes. tính từ luôn đứng trước danh từ
Thanks for the liberation of women, women can now take part in social activities.	A. Thanks for	B. Liberation of	C. Can	D. Take part in	A. Thanks for	⇒ thanks to. thanks to: nhờ có
In spite of my father is old , he gets up early and does morning exercise.	A. In spite of	B. Is	C. Gets up	D. Does morning exercise	A. In spite of	⇒ although. although + mệnh đề = In spite of + N: mặc dù
There is only a few food for dinner. I think you should buy some more to eat.	A. Is	B. A few	C. For	D. To eat	B. A few	⇒ a little. food là danh từ không đếm được nên đi với a little chứ không phải a few
Has the government made a decide to ban the use of chemical weapon yet ?	A. Has	B. Decide	C. To ban	D. Use	B. Decide	⇒ decision. cấu trúc make a decision to V: quyết định làm gì
It was her who represented her country in the United Nations and later became ambassador to the United States.	A. It	B. Her	C. Who	D. Later	B. Her	⇒ she. cấu trúc câu chẻ it be N that mệnh đề. Sau who là động từ nên N sau it be cần là danh từ làm chủ ngữ
He was very surprised when he visited London, in that the drivers always drive on the left hand side of the street.	A. Very surprised	B. When	C. In that	D. On	C. In that	⇒ where. đại từ quan hệ that không đi với giới từ, thay vào đó ta dùng where
By the mid-nineteenth century, land was such expensive in large cities that architects began to conserve space by designing skyscrapers.	A. By the mid-nineteenth century	B. Such expensive	C. Conserve	D. By designing	B. Such expensive	⇒ so expensive. cấu trúc so adj that mệnh đề: quá như thế nào… đến nỗi mà…
He has a great deal of books most of which are on science and technology.	A. A great deal of	B. Most of	C. Which	D. Are on	A. A great deal of	⇒ a large number of. books là danh từ đếm được số nhiều nên không đi với a great deal of
Increasing involvement in agriculture by large corporations has resulted in what is known as agribusiness-that is, agriculture with business techniques, including heavy capitalization, specialization of production, and to control all stages of the operation.	A. By large corporations	B. Has resulted in	C. Known as	D. To control	D. To control	⇒ controlled. đây là 1 vế câu song song với has resulted in, là động từ chính trong câu.
There are much kinds of books in my school library,but readers cannot borrow them.	A. Are	B. Much	C. In	D. Cannot	B. Much	⇒ many. kinds là danh từ đếm được số nhiều nên không đi với much, mà phải dùng many
Because they had spent too many time considering the new contract, the students lost the chance to lease the apartment.	A. Because	B. Too many	C. Considering	D. To lease	B. Too many	⇒ too much. time là danh từ không đếm được nên không đi với many, mà phải dùng much
Mother’s Day is the day when children show their love on their mother on.	A. Mother’s Day	B. The day	C. When	D. On	D. On	⇒ bỏ on. mệnh đề quan hệ chỉ thời gian, when = on which
The chemistry instructor explained the experiment in such of a way that it was easily understood.	A. In	B. Such of a way that	C. Was	D. Easily understood	B. Such of a way that	⇒ such a way that. cấu trúc such (a/an) + tính từ + danh từ + that mệnh đề: quá…đến nỗi mà
The workers went on strikes because of they thought their wages were low.	A. On	B. Because of	C. Thought	D. Were	B. Because of	⇒ because. sau because + mệnh đề S V
Sex’s education is instituted to help the student understandthe process of maturation, to eliminate anxieties related to development, to learn values, and to prevent disease.	A. education	B. Understand	C. To eliminate anxieties	D. Related	A. education	⇒ sexual education. ta chỉ dùng sở hữu cách với các danh từ chỉ người. Cụm sexual education: giáo dục giới tính.
Did you say that you will have a lot of things to do the following week ?	A. That	B. Will	C. To do	D. the following	B. Will	⇒ would. đây là câu gián tiếp nên động từ cần lùi thời
Despite she was in her middle age, she looked very graceful and charming.	A. Despite	B. In	C. Looked	D. Graceful	A. Despite	⇒ although. despite + N, ở đây ta có một mệnh đề nên phải dùng although với nghĩa “mặc dù”.
In today’s competitive markets, even small businesses had better to advertise on TV and radio in order to gain a share of the market.	A. Today’s	B. To advertise	C. On	D. To gain	B. To advertise	⇒ advertise. cấu trúc had better + V = should + V: nên làm gì
We have been making prepare for our final exammination for two months	A. Have been making	B. Prepare	C. For	D. Months	B. Prepare	⇒ preparation. cấu trúc make preparation for st: chuẩn bị cho cái gì
The police is looking for the bank robbers who stole a large sum of money from the bank.	A. Is	B. Looking for	C. Who	D. From	A. Is	⇒ are. the police là danh từ số nhiều, chỉ lực lượng cảnh sát nói chung. Nen động từ đi theo cũng phải ỏ dạng số nhiều
Excavations in some villages on the east bank(A) of the Euphrates River have revealed(B) an ancient community that had been laying (C) under later (D) reconstructions of the city of Babylon	A. On the east bank	B. Revealed	C. Had been laying	D. Later	C. Had been laying	⇒ had been lying. “lay” là ngoại động từ mang nghĩa “đặt, để”, cần có tân ngữ đi kèm. Ở đây động từ đúng phải dùng là “lie”: nằm ở
Anyone reproducing copyrighted works without permission of the holders of the copyrights are breaking the law	A. Reproducing	B. Are	C. Breaking	D. The law	B. Are	⇒ Is. Chủ ngữ của câu là “Anyone” là đại từ bất định đi với động từ số ít nên are ⇒ is
Some of my friends are good at English while other are good at Mathematics.	A. My friends	B. At	C. While	D. Other	D. Other	⇒ others. other + Ns = others: những cái/ người còn lại
118. In a federal form of government like that of the United States, power is divided between the legislative, executive, and judicial branches.	A. Like	B. That of the United States	C. Is divided	D. Between	D. Between	⇒ into. cấu trúc be divided into: được chia thành
Aristotle, the famous Greek philosopher, believed that the brain was an organ that cooled a heart.	A. The famous	B. The brain	C. An organ	D. A heart	A. The famous	⇒ a famous. Danh từ nhắc đến lần đầu tiên trong câu chưa xác định nên không dùng the mà chỉ dùng “a”
When she heard the news, she got so a shock that she dropped her glass.	A. Heard	B. News	C. So	D. That	C. So	⇒ such. cấu trúc such (a/an) adj N that mệnh đề: quá…đến nỗi mà..
Two weeks are plenty of time to finish the assignment.	A. Weeks	B. Are	C. Plenty of time	D. To finish	A. Weeks	⇒ is. chủ ngữ là một số lượng, 1 khoảng thòi gian thì động từ chia số ít
Dislike the gorilla, the male adult chimpanzee weighs under 200 pounds.	A. Dislike	B. Male	C. Under	D. Pounds	A. Dislike	unlike. cấu trúc unlike + N: khác với
If the goal keeper had playing better, they would not have lost the game.	A. If	B. Goal keeper	C. Had playing	D. Would not have lost	C. Had playing	⇒ had played. cấu trúc câu điều kiện loại 3: If + S + Had PII, S would have PII
If today is Sunday, we would have a lot of fun at the camping site.	A. Is	B. Would have	C. Fun	D. At	A. Is	⇒ were. cấu trúc câu điều kiện loại 2 với tobe: If S + were + adj/N, S would V
To reduce pollution, we have to stop using many things that makes our life comfortable.	A. To reproduce pollution	B. Using	C. Makes	D. Comfortable	C. Makes	⇒ make. Mệnh đề quan hệ “that makes our life comfortable” bổ nghĩa cho many things, nên make phải chia ở dạng số nhiều.
My mother doesn’t care how much does the washing machine cost because she is going to buy it anyway.	A. Doesn’t care	B. Does the washing machine cost	C. Because	D. going to buy	B. Does the washing machine cost	⇒ the washing machine costs. mệnh đề danh ngữ: WH-ques + S + V làm chủ ngữ hoặc tân ngữ trong câu.
It is very difficult for human beings fighting pollution.	A. Difficult	B. For	C. Beings	D. Fighting	D. Fighting	⇒ to fight. cấu trúc it + be + adj + to V: thật là như thế nào khi làm gì
Reading several books on that subject, Bill considered himself an expert.	A. Reading	B. Books on	C. Considered himself	D. Expert	A. Reading	⇒ having read. Ta thấy động từ vế sau ở thời quá khứ “Bill tự coi mình là một chuyên gia”, nên việc đọc sách đã xảy ra trước đó, cần chia ở dạng having PII để diễn tả sự lệch thời
Ralph wishes that he went to the bank this morning before he went to work.	A. Wishes that	B. Went	C. Before	D. Went to work	B. Went	⇒ had been. cấu trúc câu ước quá khứ với wish: S wish(es) + (that) + S + V(qkht)
The company did not want to hire a man that his experiment was so limited.	A. The	B. Want to hire	C. That his	D. So limited	C. That his	⇒ whose. mệnh đề quan hệ sở hữu whose. Ta không dùng that hay which + tính từ sở hữu trước danh từ mà phải dùng whose
Mrs. Alien was concerned about me having to drive so far every day.	A. About	B. Me having	C. So far	D. Everyday	B. Me having	⇒ my having. Ving được hiểu là một danh động từ, mà trước danh động từ ta cần dùng tính từ sở hữu.
In very early times, people around the fire were entertained by storytellers with stories of heroes’ wonderful actions and victory.	A. Times	B. Around	C. Were entertained	D. Victory	D. Victory	⇒ victories. Các danh từ nối với nhau bỏi “and” cần ở cùng dạng thức. Ta thấy actions số nhiều nên ta cần chueyenr victories về dạng số nhiều theo nguyên tác song song
The children next door are a real nuisance. Their football is always coming on the fence and damaging the flowers in my garden.	A. Next door	B. A real nuisance	C. On	D. Damaging	C. On	⇒ over. on nghĩa là “ở trên”, là giới từ chỉ vị trí tĩnh, không đi với come. Ở đây quả bóng bay qua hàng rào, nên giới từ over là phù hợp.
Mai and Lan have a row because they have misunderstood one another.	A. Have	B. Because	C. Misunderstood	D. One another	D. One another	⇒ each other. each other: lẫn nhau (trong số 2 người/vật)
The workers are building a new bridge which is 150 meters in high	A. Building	B. A new bridge	C. Which	D. High	D. High	⇒ height. sau giới từ là danh từ
